Loss: 1.0449, Epoch Duration: 1.03 seconds
Loss: 0.9436, Epoch Duration: 1.04 seconds
Loss: 1.0696, Epoch Duration: 1.07 seconds
Loss: 1.0725, Epoch Duration: 1.08 seconds
Loss: 1.2289, Epoch Duration: 0.96 seconds
Loss: 1.0743, Epoch Duration: 1.02 seconds
Loss: 1.0580, Epoch Duration: 1.03 seconds
Loss: 1.1008, Epoch Duration: 1.07 seconds
Loss: 1.2919, Epoch Duration: 1.02 seconds
Loss: 1.2428, Epoch Duration: 0.98 seconds
Loss: 1.1172, Epoch Duration: 1.03 seconds
Loss: 1.1548, Epoch Duration: 1.03 seconds
Loss: 1.1292, Epoch Duration: 1.01 seconds
Loss: 1.0790, Epoch Duration: 1.10 seconds
Loss: 1.2975, Epoch Duration: 1.04 seconds
Loss: 1.1656, Epoch Duration: 1.10 seconds
Loss: 1.1191, Epoch Duration: 1.09 seconds
Loss: 1.0938, Epoch Duration: 0.97 seconds
Loss: 1.0269, Epoch Duration: 1.03 seconds
Loss: 1.0283, Epoch Duration: 1.01 seconds
Loss: 0.9953, Epoch Duration: 1.08 seconds
Loss: 1.1356, Epoch Duration: 1.04 seconds
Loss: 1.1031, Epoch Duration: 1.07 seconds
Loss: 1.2135, Epoch Duration: 1.10 seconds
Loss: 1.0178, Epoch Duration: 1.24 seconds
Loss: 0.9831, Epoch Duration: 0.99 seconds
Loss: 1.1751, Epoch Duration: 1.05 seconds
Loss: 0.9887, Epoch Duration: 1.02 seconds
Loss: 0.9655, Epoch Duration: 1.03 seconds
Loss: 0.9544, Epoch Duration: 1.09 seconds
Loss: 1.1058, Epoch Duration: 1.13 seconds
Loss: 1.0441, Epoch Duration: 0.92 seconds
Loss: 1.0160, Epoch Duration: 1.01 seconds
Loss: 1.0240, Epoch Duration: 1.05 seconds
Loss: 1.1082, Epoch Duration: 1.06 seconds
Loss: 1.0626, Epoch Duration: 1.06 seconds
Loss: 1.1741, Epoch Duration: 1.06 seconds
Loss: 1.3342, Epoch Duration: 1.06 seconds
Loss: 1.1017, Epoch Duration: 0.93 seconds
Loss: 1.0405, Epoch Duration: 0.98 seconds
Loss: 0.8539, Epoch Duration: 1.03 seconds
Loss: 1.1242, Epoch Duration: 1.10 seconds
Loss: 1.1702, Epoch Duration: 1.08 seconds
Loss: 1.0276, Epoch Duration: 1.09 seconds
Loss: 0.9968, Epoch Duration: 1.05 seconds
Loss: 1.1112, Epoch Duration: 1.06 seconds
Loss: 1.1459, Epoch Duration: 1.01 seconds
Loss: 1.1566, Epoch Duration: 1.08 seconds
Loss: 0.9352, Epoch Duration: 1.07 seconds
Loss: 1.1458, Epoch Duration: 1.08 seconds
Loss: 1.1223, Epoch Duration: 1.05 seconds
Loss: 1.2395, Epoch Duration: 1.04 seconds
Loss: 1.0189, Epoch Duration: 1.01 seconds
Loss: 0.9857, Epoch Duration: 0.98 seconds
Loss: 1.0661, Epoch Duration: 0.98 seconds
Loss: 1.1144, Epoch Duration: 0.97 seconds
Loss: 1.1148, Epoch Duration: 1.04 seconds
Loss: 1.1026, Epoch Duration: 1.14 seconds
Loss: 1.0337, Epoch Duration: 1.03 seconds
Loss: 1.1253, Epoch Duration: 1.01 seconds
Loss: 1.0850, Epoch Duration: 0.90 seconds
Loss: 0.9813, Epoch Duration: 1.01 seconds
Loss: 1.0570, Epoch Duration: 1.09 seconds
Loss: 0.9839, Epoch Duration: 1.05 seconds
Loss: 1.0416, Epoch Duration: 1.02 seconds
Loss: 0.9903, Epoch Duration: 1.03 seconds
Loss: 0.9444, Epoch Duration: 1.07 seconds
Loss: 1.0473, Epoch Duration: 1.06 seconds
Loss: 0.9768, Epoch Duration: 0.93 seconds
Loss: 0.9581, Epoch Duration: 1.07 seconds
Loss: 1.1161, Epoch Duration: 1.05 seconds
Loss: 1.1378, Epoch Duration: 0.97 seconds
Loss: 0.8962, Epoch Duration: 1.07 seconds
Loss: 0.9304, Epoch Duration: 0.98 seconds
Loss: 0.9382, Epoch Duration: 1.06 seconds
Loss: 0.9521, Epoch Duration: 1.00 seconds
Loss: 1.0446, Epoch Duration: 1.07 seconds
Loss: 1.0134, Epoch Duration: 1.04 seconds
Loss: 0.9084, Epoch Duration: 0.96 seconds
Loss: 1.0455, Epoch Duration: 1.02 seconds
Loss: 0.9324, Epoch Duration: 1.04 seconds
Loss: 0.8189, Epoch Duration: 1.03 seconds
Loss: 1.1588, Epoch Duration: 1.08 seconds
Loss: 1.0724, Epoch Duration: 0.96 seconds
Loss: 0.9252, Epoch Duration: 0.99 seconds
Loss: 0.9901, Epoch Duration: 1.05 seconds
Loss: 1.0171, Epoch Duration: 1.03 seconds
Loss: 1.0414, Epoch Duration: 1.05 seconds
Loss: 1.0343, Epoch Duration: 1.10 seconds
Loss: 0.8441, Epoch Duration: 1.05 seconds
Loss: 1.0393, Epoch Duration: 1.03 seconds
Loss: 0.9432, Epoch Duration: 0.97 seconds
Loss: 1.0697, Epoch Duration: 0.98 seconds
Loss: 1.1446, Epoch Duration: 0.98 seconds
Loss: 0.9983, Epoch Duration: 1.05 seconds
Loss: 1.0500, Epoch Duration: 1.05 seconds
Loss: 0.9643, Epoch Duration: 0.94 seconds
Loss: 0.9040, Epoch Duration: 1.19 seconds
Loss: 0.9346, Epoch Duration: 0.97 seconds
Loss: 1.0594, Epoch Duration: 1.09 seconds
Loss: 0.9702, Epoch Duration: 0.95 seconds
Loss: 1.0052, Epoch Duration: 1.04 seconds
Loss: 0.9623, Epoch Duration: 1.00 seconds
Loss: 1.1497, Epoch Duration: 1.05 seconds
Loss: 1.0243, Epoch Duration: 1.01 seconds
Loss: 0.9672, Epoch Duration: 0.99 seconds
Loss: 1.0819, Epoch Duration: 0.98 seconds
Loss: 1.0189, Epoch Duration: 1.02 seconds
Loss: 0.8475, Epoch Duration: 1.01 seconds
Loss: 0.9566, Epoch Duration: 1.06 seconds
Loss: 0.9595, Epoch Duration: 0.97 seconds
Loss: 0.9607, Epoch Duration: 0.96 seconds
Loss: 0.9338, Epoch Duration: 1.01 seconds
Loss: 0.8934, Epoch Duration: 1.01 seconds
Loss: 0.9776, Epoch Duration: 1.00 seconds
Loss: 0.9960, Epoch Duration: 1.09 seconds
Loss: 0.8819, Epoch Duration: 1.11 seconds
Loss: 0.9779, Epoch Duration: 0.95 seconds
Loss: 0.9669, Epoch Duration: 1.07 seconds
Loss: 0.9828, Epoch Duration: 1.08 seconds
Loss: 0.8931, Epoch Duration: 1.06 seconds
Loss: 0.8482, Epoch Duration: 1.05 seconds
Loss: 1.1800, Epoch Duration: 1.03 seconds
Loss: 1.1126, Epoch Duration: 1.01 seconds
Loss: 1.0989, Epoch Duration: 1.03 seconds
Loss: 1.0922, Epoch Duration: 1.02 seconds
Loss: 1.0714, Epoch Duration: 0.99 seconds
Loss: 0.9652, Epoch Duration: 1.06 seconds
Loss: 0.9664, Epoch Duration: 1.05 seconds
Loss: 0.8929, Epoch Duration: 1.03 seconds
Loss: 0.9369, Epoch Duration: 1.05 seconds
Loss: 1.1807, Epoch Duration: 1.02 seconds
Loss: 1.1574, Epoch Duration: 0.95 seconds
Loss: 1.0207, Epoch Duration: 1.02 seconds
Loss: 1.0396, Epoch Duration: 1.00 seconds
Loss: 1.0740, Epoch Duration: 1.07 seconds
Loss: 1.0203, Epoch Duration: 1.00 seconds
Loss: 1.0092, Epoch Duration: 1.03 seconds
Loss: 0.9478, Epoch Duration: 1.05 seconds
Loss: 0.9231, Epoch Duration: 1.14 seconds
Loss: 1.0114, Epoch Duration: 1.09 seconds
Loss: 0.9143, Epoch Duration: 1.04 seconds
Loss: 1.0062, Epoch Duration: 1.02 seconds
Loss: 0.9327, Epoch Duration: 1.03 seconds
Loss: 0.9157, Epoch Duration: 0.99 seconds
Loss: 1.0073, Epoch Duration: 1.04 seconds
Loss: 1.0177, Epoch Duration: 1.11 seconds
Loss: 0.9265, Epoch Duration: 0.99 seconds
Loss: 1.0087, Epoch Duration: 1.04 seconds
Loss: 0.9926, Epoch Duration: 0.99 seconds
Loss: 0.8728, Epoch Duration: 1.25 seconds
Loss: 0.9551, Epoch Duration: 0.99 seconds
Loss: 0.9278, Epoch Duration: 1.07 seconds
Loss: 1.0147, Epoch Duration: 1.04 seconds
Loss: 0.9039, Epoch Duration: 0.95 seconds
Loss: 0.9093, Epoch Duration: 1.01 seconds
Loss: 0.8766, Epoch Duration: 1.01 seconds
Loss: 1.0665, Epoch Duration: 0.99 seconds
Loss: 0.9572, Epoch Duration: 1.00 seconds
Loss: 1.0168, Epoch Duration: 1.16 seconds
Loss: 0.9503, Epoch Duration: 1.14 seconds
Loss: 0.8862, Epoch Duration: 1.12 seconds
Loss: 1.0259, Epoch Duration: 1.01 seconds
Loss: 1.0264, Epoch Duration: 1.02 seconds
Loss: 1.0059, Epoch Duration: 1.00 seconds
Loss: 0.8956, Epoch Duration: 1.07 seconds
Loss: 0.9924, Epoch Duration: 1.07 seconds
Loss: 0.8951, Epoch Duration: 1.01 seconds
Loss: 0.8948, Epoch Duration: 0.98 seconds
Loss: 0.9508, Epoch Duration: 0.98 seconds
Loss: 0.9561, Epoch Duration: 1.00 seconds
Loss: 1.0039, Epoch Duration: 1.06 seconds
Loss: 1.0100, Epoch Duration: 1.02 seconds
Loss: 1.0531, Epoch Duration: 1.01 seconds
Loss: 1.0224, Epoch Duration: 1.04 seconds
Loss: 0.8389, Epoch Duration: 0.98 seconds
Loss: 0.8654, Epoch Duration: 1.08 seconds
Loss: 0.8540, Epoch Duration: 1.03 seconds
Loss: 0.9765, Epoch Duration: 1.03 seconds
Loss: 0.8431, Epoch Duration: 0.95 seconds
Loss: 0.9319, Epoch Duration: 1.05 seconds
Loss: 0.7721, Epoch Duration: 1.07 seconds
Loss: 0.8797, Epoch Duration: 1.10 seconds
Loss: 0.9149, Epoch Duration: 0.94 seconds
Loss: 1.0027, Epoch Duration: 1.03 seconds
Loss: 1.0145, Epoch Duration: 1.04 seconds
Loss: 0.8799, Epoch Duration: 1.04 seconds
Loss: 0.9206, Epoch Duration: 1.07 seconds
Loss: 0.9726, Epoch Duration: 1.06 seconds
Loss: 0.8701, Epoch Duration: 0.93 seconds
Loss: 0.9503, Epoch Duration: 1.01 seconds
Loss: 0.8853, Epoch Duration: 1.08 seconds
Loss: 1.0095, Epoch Duration: 1.05 seconds
Loss: 0.9198, Epoch Duration: 1.00 seconds
Loss: 0.9875, Epoch Duration: 1.05 seconds
Loss: 0.9131, Epoch Duration: 1.07 seconds
Loss: 0.8539, Epoch Duration: 0.93 seconds
Loss: 0.9547, Epoch Duration: 1.01 seconds
Loss: 0.9330, Epoch Duration: 1.01 seconds
Loss: 1.1018, Epoch Duration: 1.07 seconds
Loss: 0.8242, Epoch Duration: 1.03 seconds
Loss: 0.9375, Epoch Duration: 1.06 seconds
Loss: 0.9086, Epoch Duration: 1.03 seconds
Loss: 0.9351, Epoch Duration: 1.05 seconds
Loss: 0.9303, Epoch Duration: 0.97 seconds
Loss: 1.1283, Epoch Duration: 1.00 seconds
Loss: 0.8257, Epoch Duration: 1.01 seconds
Loss: 0.9225, Epoch Duration: 1.03 seconds
Loss: 0.9452, Epoch Duration: 1.08 seconds
Loss: 1.1245, Epoch Duration: 1.04 seconds
Loss: 0.9248, Epoch Duration: 1.12 seconds
Loss: 0.8927, Epoch Duration: 0.95 seconds
Loss: 0.9414, Epoch Duration: 1.02 seconds
Loss: 0.9126, Epoch Duration: 1.14 seconds
Loss: 1.0345, Epoch Duration: 1.00 seconds
Loss: 0.9070, Epoch Duration: 1.00 seconds
Loss: 0.9405, Epoch Duration: 1.04 seconds
Loss: 0.9246, Epoch Duration: 1.12 seconds
Loss: 0.9258, Epoch Duration: 0.95 seconds
Loss: 1.0481, Epoch Duration: 1.01 seconds
Loss: 0.8147, Epoch Duration: 1.10 seconds
Loss: 0.8788, Epoch Duration: 1.05 seconds
Loss: 1.0367, Epoch Duration: 1.06 seconds
Loss: 0.9377, Epoch Duration: 1.02 seconds
Loss: 0.9176, Epoch Duration: 1.07 seconds
Loss: 0.9100, Epoch Duration: 1.03 seconds
